library order	Biosample name	Vocabulary representative	DCC Experiment ID	DCC Library ID	DCC Biosample ID	Altius Aggregation ID	Altius Library ID	Altius Biosample ID	Replicate indicators	System	Subsystem	Organ	Biosample type	Biological state	Germ layer	Description 	Growth stage	Age	Sex	Ethnicity	Donor ID	Biosample protocol	Experiment protocol	Library kit method	Library cleanup	DNaseI units/mL	Amount Nucleic Acid (ng)	Nuclei count	Protease inhibitor	Library sequencing date	Reads used	DCC SPOT score	Per-biosample peaks	DHSs in Index
1	GM06990		ENCSR000EMQ	ENCLB435ZZZ	ENCBS057ENC	AG5636	LN1203	DS7748	DS7784	Hematopoietic	Lymphoid	Blood	Lines	Immortalized	Mesoderm	Lymphoblastoid	Adult	41Y	F			Biosample protocol	Experiment protocol		Sucrose		50			2009-02-23	142681590	0.679	83639	82918
2	HepG2		ENCSR000ENP	ENCLB480ZZZ	ENCBS114ENC	AG5635	LN1207	DS7764	DS7768	Hepatic		Liver	Cancer	Cancer	Endoderm	hepatocellular carcinoma	Child	15Y	M			Biosample protocol	Experiment protocol		Sucrose		50			2009-02-23	138826342	0.5858	89748	89235
3	hTH1		ENCSR000EQC	ENCLB591ZZZ	ENCBS345AAA	AG5634	LN1222	DS7840		Hematopoietic	T-cell	Blood	Primary	Primary	Mesoderm	T1 helper	Adult	25Y?	F?		Wilson01	Biosample protocol	Experiment protocol		Sucrose	6	534.9			2007-06-06	149158633	0.647	94360	93665
4	Hela		ENCSR000ENO	ENCLB479ZZZ	ENCBS890POO	AG4219	LN1264	DS8200		Genitourinary		Uterus	Cancer	Cancer	Ectoderm	Cervical carcinoma	Adult	31Y	F			Biosample protocol	Experiment protocol		new Sucrose	4	50			2007-08-24	23372724	0.6444	59098	59024
5	CACO2		ENCSR000EMI	ENCLB422ZZZ	ENCBS391ENC	AG4218	LN1269	DS8235	DS8416	Digestive		Colon	Cancer	Cancer	Endoderm	Colorectal adenocarcinoma	Adult	72Y	M			Biosample protocol	Experiment protocol		Sucrose	8	1			2007-09-05	22760059	0.719	29894	29724
6	CACO2		ENCSR000EMI	ENCLB423ZZZ	ENCBS890JZY	AG4217	LN1289	DS8416	DS8235	Digestive		Colon	Cancer	Cancer	Endoderm	Colorectal adenocarcinoma	Adult	72Y	M			Biosample protocol	Experiment protocol		Sucrose	6	5.1			2007-10-19	20515769	0.5677	40048	39746
7	SKNSH		ENCSR000EPZ	ENCLB585ZZZ	ENCBS799ICU	AG4216	LN1310	DS8476	DS8482	Nervous		Brain	Cancer	Cancer	Ectoderm	Neuroblastoma _Treated with retinoic acid (RA)	Child	4Y	F			Biosample protocol	Experiment protocol		Sucrose	6	12.9			2007-11-28	27541549	0.4597	51959	51575
8	SKNSH		ENCSR000EPZ	ENCLB586ZZZ	ENCBS404ENC	AG5633	LN1312	DS8482	DS8476	Nervous		Brain	Cancer	Cancer	Ectoderm	Neuroblastoma _Treated with retinoic acid (RA)	Child	4Y	F			Biosample protocol	Experiment protocol		Sucrose		1.9			39867	155458024	0.6813	116131	115476
9	HMEC		ENCSR000ENV	ENCLB493ZZZ	ENCBS090ENC	AG4215	LN1376	DS8680	DS13921	Epithelial		Mammary	Primary	Primary	Ectoderm	Mammary epithelial	Adult	50Y	F	Cauc		Biosample protocol	Experiment protocol		new Sucrose	6	1.2			2008-02-04	30855330	0.4415	71383	70998
10	GM12878		ENCSR000EMT	ENCLB441ZZZ	ENCBS857VGC	AG4214	LN1614	DS9432	DS10671	Hematopoietic	Lymphoid	Blood	Lines	Immortalized	Mesoderm	Lymphoblastoid	Adult	U				Biosample protocol	Experiment protocol		new Sucrose	200	15			2008-07-25	29049982	0.5464	30405	30327
11	MCF7		ENCSR000EPJ	ENCLB554ZZZ	ENCBS241AAA	AG4213	LN1615	DS9445	DS12619	Integumentary		Mammary	Cancer	Cancer	Ectoderm	Breast carcinoma	Adult	69Y	F	Cauc		Biosample protocol	Experiment protocol		new Sucrose	160	24.1			2008-07-29	22366961	0.4565	51761	51651
12	K562		ENCSR000EPC	ENCLB539ZZZ	ENCBS025CUE	AG5632	LN1684	DS9764	DS9767	Hematopoietic	Erythroid	Blood	Cancer	Cancer	Mesoderm	Myeloid	Adult	53Y	F			Biosample protocol	Experiment protocol							2008-09-24	20647269	0.5505	36356	36248
13	K562		ENCSR000EPC	ENCLB540ZZZ	ENCBS039ENC	AG5631	LN1691	DS9767	DS9764	Hematopoietic	Erythroid	Blood	Cancer	Cancer	Mesoderm	Myeloid	Adult	53Y	F			Biosample protocol	Experiment protocol	PE			10			2008-09-29	115837866	0.5656	120976	120549
14	PANC1		ENCSR000EPT	ENCLB573ZZZ	ENCBS397PLZ	AG4212	LN1753	DS9873	DS9955	Digestive		Colon	Cancer	Cancer	Endoderm	pancreatic carcinoma	Adult	56Y	M			Biosample protocol	Experiment protocol		new Sucrose	10	20.9			2008-11-04	22032223	0.4107	32945	32800
15	PANC1		ENCSR000EPT	ENCLB574ZZZ	ENCBS399ENC	AG4211	LN1782	DS9955	DS9873	Digestive		Colon	Cancer	Cancer	Endoderm	pancreatic carcinoma	Adult	56Y	M			Biosample protocol	Experiment protocol		new Sucrose	80	24.8			2008-11-19	20335309	0.4244	34302	34196
16	HeLaS3		ENCSR000ENO	ENCLB478ZZZ	ENCBS432ENC	AG5630	LN1789	DS10011		Genitourinary		Uterus	Cancer	Cancer	Ectoderm	adherent human cervical adenocarcinoma	Adult	31Y	F			Biosample protocol	Experiment protocol		new Sucrose	40	44			39786	25866846	0.5561	53306	53150
17	BJ	Stromal A	ENCSR000EME	ENCLB416ZZZ	ENCBS911DVL	AG4210	LN1791	DS10018	DS10081	Connective		Skin	Lines	Immortalized	Mesoderm	Skin fibroblasts	Neonatal		M			Biosample protocol	Experiment protocol		microcon	80	7.7			2008-12-05	27033500	0.5788	79151	79083
18	HUVEC	Vascular / endothelial	ENCSR000EOQ	ENCLB533ZZZ	ENCBS112ENC	AG4209	LN1812	DS10060	DS13475	Cardiovascular	Vascular	Umbilical	Primary	Primary	Mesoderm	umbilical vein endothelial	Neonatal		M	Afr-Am		Biosample protocol	Experiment protocol		Sucrose	60	24.6			2008-12-10	383483914	0.4182	175498	174822
19	BJ		ENCSR000EME	ENCLB417ZZZ	ENCBS074ENC	AG4208	LN1816	DS10081	DS10018	Connective		Skin	Lines	Immortalized	Mesoderm	Skin fibroblasts	Neonatal		M			Biosample protocol	Experiment protocol		new Sucrose	60	<2			2008-12-15	24336037	0.7305	65012	64957
20	HESC		ENCSR000EMU	ENCLB442ZZZ	ENCBS111ENC	AG4207	LN1835	DS10167		Embryonic		Germ	Lines	ESC	Primitive	H1-Embryonic stem	Embryonic					Biosample protocol	Experiment protocol		Sucrose	60	13.1			2009-01-21	20475547	0.3782	38270	38181
21	SAEC		ENCSR000EPX	ENCLB581ZZZ	ENCBS875ORO	AG4206	LN1924	DS10514	DS10518	Respiratory		Lung	Primary	Primary	Endoderm	Small airway epithelial	Adult	28Y	M	Cauc		Biosample protocol	Experiment protocol	PE	microcon	80	6.8			2009-03-20	22265561	0.457	66215	66145
22	SAEC	Cancer / epithelial	ENCSR000EPX	ENCLB582ZZZ	ENCBS417ENC	AG4205	LN1926	DS10518	DS10514	Respiratory		Lung	Primary	Primary	Endoderm	Small airway epithelial	Adult	28Y	M	Cauc		Biosample protocol	Experiment protocol	PE	microcon	80	27.6			2009-03-20	221633830	0.5922	271075	270648
23	HRE		ENCSR000EOL	ENCLB523ZZZ	ENCBS490IXI	AG4204	LN1951	DS10631	DS10641	Renal		Kidney	Primary	Primary	Mesoderm	renal epithelial (normal)	Adult		U			Biosample protocol	Experiment protocol	PE	microcon	80	16.8			2009-04-02	24137647	0.4531	67607	67513
24	HRE		ENCSR000EOL	ENCLB524ZZZ	ENCBS056ENC	AG4203	LN1953	DS10641	DS10631	Renal		Kidney	Primary	Primary	Mesoderm	renal epithelial (normal)	Adult		U			Biosample protocol	Experiment protocol	PE	microcon	80	14.7			2009-04-02	22691625	0.5403	71588	71478
25	HRCE		ENCSR000EOK	ENCLB521ZZZ	ENCBS286JKJ	AG4202	LN1958	DS10662	DS10666	Renal		Kidney	Primary	Primary	Mesoderm	renal cortical epithelial (normal)	Child	12Y	M	Cauc		Biosample protocol	Experiment protocol	PE	microcon	60	42.5			2009-04-03	22067570	0.6171	71425	71332
26	HRCE	Renal / cancer	ENCSR000EOK	ENCLB522ZZZ	ENCBS394ENC	AG4201	LN1959	DS10666	DS10662	Renal		Kidney	Primary	Primary	Mesoderm	renal cortical epithelial (normal)	Child	12Y	M	Cauc		Biosample protocol	Experiment protocol	PE	microcon	60	54.2			2009-04-03	215412388	0.6042	249852	249550
27	GM12878		ENCSR000EMT	ENCLB440ZZZ	ENCBS110ENC	AG4200	LN1960	DS10671	DS9432	Hematopoietic	Lymphoid	Blood	Lines	Immortalized	Mesoderm	Lymphoblastoid	Adult	U	F	Cauc		Biosample protocol	Experiment protocol	PE	microcon	80	<2ng			2009-04-06	22764239	0.4336	36294	36105
28	Jurkat		ENCSR000EOS	ENCLB537ZZZ	ENCBS551ZKL	AG4199	LN1963	DS10681	DS12659	Hematopoietic	T-cell	Blood	Cancer	Cancer	Mesoderm	T cell leukemia	Child	14Y	M			Biosample protocol	Experiment protocol		micrcon	80	3.9			2009-04-10	30018744	0.4073	57351	57216
